name,parent_facility,clinic,district
Namboya,Bangwe Health Centre,yes,Blantyre
Nachamba,Bangwe Health Centre,yes,Blantyre
William,Bangwe Health Centre,yes,Blantyre
Chiswe 1,Bangwe Health Centre,yes,Blantyre
Mphati,Chabvala Health Centre,yes,Blantyre
Kalonga,Chabvala Health Centre,yes,Blantyre
Chilibwalo,Chabvala Health Centre,yes,Blantyre
Kabuluzi,Chabvala Health Centre,yes,Blantyre
Mbiyao,Chabvala Health Centre,yes,Blantyre
Jumbe,Chikowa Health Centre,yes,Blantyre
Twaya,Chikowa Health Centre,yes,Blantyre
Rhoda,Chikowa Health Centre,yes,Blantyre
Mapondera,Chikowa Health Centre,yes,Blantyre
Ngoleka,Chikowa Health Centre,yes,Blantyre
Mpatamanga,Chikowa Health Centre,yes,Blantyre
Gumeni,Chikowa Health Centre,yes,Blantyre
Chazemba,Chikowa Health Centre,yes,Blantyre
Kaliati,Chikowa Health Centre,yes,Blantyre
Mayera,Chileka Health Centre,yes,Blantyre
Pambaza,Chileka Health Centre,yes,Blantyre
Kamwetsa,Chileka SDA,yes,Blantyre
Kalombola,Chileka SDA,yes,Blantyre
Manjere,Chileka SDA,yes,Blantyre
Thanganyika,Chileka SDA,yes,Blantyre
Kammata,Chileka SDA,yes,Blantyre
Mambo,Chileka SDA,yes,Blantyre
Kantimbiza,Chileka SDA,yes,Blantyre
Jeweta,Chilomoni Health Centre,yes,Blantyre
Chitakale,Chilomoni Health Centre,yes,Blantyre
Mulunguzi Ground,Chilomoni Health Centre,yes,Blantyre
Jumbe,Chimembe Health Centre,yes,Blantyre
Makanjira,Chimembe Health Centre,yes,Blantyre
Chamba,Chimembe Health Centre,yes,Blantyre
Mlanga,Dziwe Health Centre,yes,Blantyre
Nseula,Dziwe Health Centre,yes,Blantyre
Katchakhwala,Dziwe Health Centre,yes,Blantyre
Chikanda,Dziwe Health Centre,yes,Blantyre
Chigonawaya,Dziwe Health Centre,yes,Blantyre
Mzigala,Dziwe Health Centre,yes,Blantyre
Kesinala,Dziwe Health Centre,yes,Blantyre
Wilson,Dziwe Health Centre,yes,Blantyre
Nkolesya,Kadidi Health Centre,yes,Blantyre
Namaru,Limbe Health Centre,yes,Blantyre
Sukari,Limbe Health Centre,yes,Blantyre
Mkenje,Limbe Health Centre,yes,Blantyre
Nyaka,Limbe Health Centre,yes,Blantyre
Bandawe,Limbe Health Centre,yes,Blantyre
Chiwaya,Limbe Health Centre,yes,Blantyre
Kholowa,Limbe Health Centre,yes,Blantyre
Mangomba,Limbe Health Centre,yes,Blantyre
Matalala,Limbe Health Centre,yes,Blantyre
Kandiwo,Lirangwe Health Centre,yes,Blantyre
Issa,Lirangwe Health Centre,yes,Blantyre
MPENDA,Lirangwe Health Centre,yes,Blantyre
JAMALI clinic,Lirangwe Health Centre,yes,Blantyre
CHIGODI clinic,Lirangwe Health Centre,yes,Blantyre
CHANDE clinic,Lirangwe Health Centre,yes,Blantyre
Mtusa,Lundu Health Centre,yes,Blantyre
Mlangeni,Lundu Health Centre,yes,Blantyre
Pindani,Lundu Health Centre,yes,Blantyre
Bota,Lundu Health Centre,yes,Blantyre
Chibweya,Lundu Health Centre,yes,Blantyre
Ngwaya,Lundu Health Centre,yes,Blantyre
Keyala,Lundu Health Centre,yes,Blantyre
William,Lundu Health Centre,yes,Blantyre
Semu,Lundu Health Centre,yes,Blantyre
Zonsezi,Madziabango Health Centre,yes,Blantyre
Kantimbanya2,Madziabango Health Centre,yes,Blantyre
Chasemphana,Madziabango Health Centre,yes,Blantyre
Katsalabande2,Madziabango Health Centre,yes,Blantyre
Kanyola,Madziabango Health Centre,yes,Blantyre
Kakodwa village,Madziabango Health Centre,yes,Blantyre
Chikalema,Madziabango Health Centre,yes,Blantyre
Chakwiya,Makata Health Centre,yes,Blantyre
Ngongomwa,Makata Health Centre,yes,Blantyre
Mkwate,Makata Health Centre,yes,Blantyre
Raph Maunde,Makata Health Centre,yes,Blantyre
Chimtengo,Makata Health Centre,yes,Blantyre
Namwalisiyo,Makata Health Centre,yes,Blantyre
Kambiri,Makata Health Centre,yes,Blantyre
Mgambo,Makata Health Centre,yes,Blantyre
Gomani,Makata Health Centre,yes,Blantyre
William,Makata Health Centre,yes,Blantyre
MKWATE,Makhetha,yes,Blantyre
NZEDI,Makhetha,yes,Blantyre
KACHERE ANDREW,Makhetha,yes,Blantyre
NGWAYA,Mdeka Health Centre,yes,Blantyre
CHIBWEYA,Mdeka Health Centre,yes,Blantyre
MPANDA,Mdeka Health Centre,yes,Blantyre
NAMALONDWE,Mdeka Health Centre,yes,Blantyre
MASULANI,Mdeka Health Centre,yes,Blantyre
BALAZA,Mdeka Health Centre,yes,Blantyre
MASINDE,Mdeka Health Centre,yes,Blantyre
Khweleniya,Mlambe Mission Hospital,yes,Blantyre
Maleule,Mlambe Mission Hospital,yes,Blantyre
Manja,Mlambe Mission Hospital,yes,Blantyre
Nansonjo,Mlambe Mission Hospital,yes,Blantyre
Chimwayi,Mlambe Mission Hospital,yes,Blantyre
Mlanga,Mpemba Health Centre,yes,Blantyre
Chilunduka,Mpemba Health Centre,yes,Blantyre
Kantukule,Mpemba Health Centre,yes,Blantyre
Linolo,Mpemba Health Centre,yes,Blantyre
Scot,Mpingo Maternity,yes,Blantyre
Chamba,Mpingo Maternity,yes,Blantyre
Mwambula,Mpingo Maternity,yes,Blantyre
MBUNI,Namikoko Health Centre,yes,Blantyre
Chibwana,Pensulo,yes,Blantyre
Chimwanga,Pensulo,yes,Blantyre
Maliro,Pensulo,yes,Blantyre
Malanga clinic,Soche Maternity,yes,Blantyre
Mtonda clinic,Soche Maternity,yes,Blantyre
Chipwepwete,Soche Maternity,yes,Blantyre
Chimala,Soche Maternity,yes,Blantyre
Chingota,Soche Maternity,yes,Blantyre
Khola,Soche Maternity,yes,Blantyre
Nasiyaya,Soche Maternity,yes,Blantyre
Makanyana,Soche Maternity,yes,Blantyre
Mbona,Soche Maternity,yes,Blantyre
Chipande,South Lunzu Health Center,yes,Blantyre
Sayere,South Lunzu Health Center,yes,Blantyre
Phoya,South Lunzu Health Center,yes,Blantyre
Chumbulu,South Lunzu Health Center,yes,Blantyre
Kansizi,South Lunzu Health Center,yes,Blantyre
Bondo,South Lunzu Health Center,yes,Blantyre
Daniel,South Lunzu Health Center,yes,Blantyre
Malunga,South Lunzu Health Center,yes,Blantyre
Masaka,South Lunzu Health Center,yes,Blantyre
Kapuchi,St Vincent Health Centre,yes,Blantyre
Kumwambe,St Vincent Health Centre,yes,Blantyre
Kumbendera,St Vincent Health Centre,yes,Blantyre
Matowa,St Vincent Health Centre,yes,Blantyre
Chikoja,St Vincent Health Centre,yes,Blantyre
Kumbokola,St Vincent Health Centre,yes,Blantyre
Mabala,St Vincent Health Centre,yes,Blantyre
Chunga,St Vincent Health Centre,yes,Blantyre
Juma,St Vincent Health Centre,yes,Blantyre
Jana,St Vincent Health Centre,yes,Blantyre
Ntonda,Zingwangwa Health Centre,yes,Blantyre
Kaliwawala,Area 18 Health Centre,yes,Lilongwe
Mwenda,Bunda College Clinic,yes,Lilongwe
Msako,CHIGODI,yes,Lilongwe
Selengo,CHIGODI,yes,Lilongwe
Mphonde,CHIGODI,yes,Lilongwe
Mkombero,CHIGODI,yes,Lilongwe
Dete,CHIGODI,yes,Lilongwe
Mwenda,Chadza Health Centre,yes,Lilongwe
Mnjolo,Chadza Health Centre,yes,Lilongwe
Kachitsa,Chadza Health Centre,yes,Lilongwe
Chamadenga,Chadza Health Centre,yes,Lilongwe
Nkhomo,Chadza Health Centre,yes,Lilongwe
Mwadzungu,Chadza Health Centre,yes,Lilongwe
Mabwera,Chikowa Health Centre,yes,Lilongwe
Kwerekwere,Chikowa Health Centre,yes,Lilongwe
Chembe,Chikowa Health Centre,yes,Lilongwe
Mtauka,Chikowa Health Centre,yes,Lilongwe
Manga,Chikowa Health Centre,yes,Lilongwe
Lisoka,Chikowa Health Centre,yes,Lilongwe
Mtsindo,Chikowa Health Centre,yes,Lilongwe
Nthondo,Chikowa Health Centre,yes,Lilongwe
Bondo,Chikowa Health Centre,yes,Lilongwe
Dama,Child Legacy Health Centre (Lilongwe),yes,Lilongwe
Chadza,Chileka Health Centre,yes,Lilongwe
Mseru,Chileka Health Centre,yes,Lilongwe
Chiipira,Chileka Health Centre,yes,Lilongwe
Masekese,Chileka Health Centre,yes,Lilongwe
Nkhwangwi,Chileka Health Centre,yes,Lilongwe
Mtali,Chileka Health Centre,yes,Lilongwe
Mbalame,Chilobwe/Majiga Health Centre,yes,Lilongwe
Katenje,Chilobwe/Majiga Health Centre,yes,Lilongwe
Mweratu,Chilobwe/Majiga Health Centre,yes,Lilongwe
Nsinde,Chilobwe/Majiga Health Centre,yes,Lilongwe
St. Dickson,Chilobwe/Majiga Health Centre,yes,Lilongwe
Chinganga,Chilobwe/Majiga Health Centre,yes,Lilongwe
Chilobwe,Chilobwe/Majiga Health Centre,yes,Lilongwe
Khuwi,Chimbalanga Health Centre,yes,Lilongwe
Mlamba,Chimbalanga Health Centre,yes,Lilongwe
Chowo,Chimbalanga Health Centre,yes,Lilongwe
Mphanda,Chimbalanga Health Centre,yes,Lilongwe
Chilu,Chimbalanga Health Centre,yes,Lilongwe
Santhe,Chimwala Clinic,yes,Lilongwe
Chalendewa,Chimwala Clinic,yes,Lilongwe
Chisiyo,Chimwala Clinic,yes,Lilongwe
Zapita,Chitedze Health Centre,yes,Lilongwe
Buluzi,Chitedze Health Centre,yes,Lilongwe
Kandere,Chitedze Health Centre,yes,Lilongwe
Chankhwima,Chitedze Health Centre,yes,Lilongwe
Zindo,Chitedze Health Centre,yes,Lilongwe
Mpingu,Chitedze Health Centre,yes,Lilongwe
Kuchata,Chitedze Health Centre,yes,Lilongwe
Mgwayi,Chitedze Health Centre,yes,Lilongwe
Chayera,Chitedze Health Centre,yes,Lilongwe
Kandiyani,Chitedze Health Centre,yes,Lilongwe
Njewa,Chitedze Health Centre,yes,Lilongwe
Nkhwangwi,Chitedze Health Centre,yes,Lilongwe
Ben,Chiunjiza Health Centre,yes,Lilongwe
Chewire,Chiunjiza Health Centre,yes,Lilongwe
Kampambanya,Chiunjiza Health Centre,yes,Lilongwe
Chigaga,Chiunjiza Health Centre,yes,Lilongwe
Chamkoma,Chiunjiza Health Centre,yes,Lilongwe
Kuphunda,Chiunjiza Health Centre,yes,Lilongwe
Mtenga,Chiunjiza Health Centre,yes,Lilongwe
Kambanizithe,Chiunjiza Health Centre,yes,Lilongwe
Kagandipenya,Chiunjiza Health Centre,yes,Lilongwe
Mwanzere,Chiwamba Health Centre,yes,Lilongwe
Chata,Chiwamba Health Centre,yes,Lilongwe
Kalinde,Chiwamba Health Centre,yes,Lilongwe
Kafundu,Chiwamba Health Centre,yes,Lilongwe
Mbununu,Chiwamba Health Centre,yes,Lilongwe
Salambula,Chiwamba Health Centre,yes,Lilongwe
Therezi,Chiwamba Health Centre,yes,Lilongwe
Chiwoko,Chiwamba Health Centre,yes,Lilongwe
Thunga,Chiwamba Health Centre,yes,Lilongwe
Masompha,Chiwamba Health Centre,yes,Lilongwe
Chinthangwa,Chiwamba Health Centre,yes,Lilongwe
Changombe,Chiwamba Health Centre,yes,Lilongwe
Maloanyama,Chiwamba Health Centre,yes,Lilongwe
Mchemani,Chiwamba Health Centre,yes,Lilongwe
Mphalabungu,Chiwoza Health Centre,yes,Lilongwe
Biwi,Chiwoza Health Centre,yes,Lilongwe
Chimutu,Chiwoza Health Centre,yes,Lilongwe
Mkwinda,Chiwoza Health Centre,yes,Lilongwe
Mlewa,Chiwoza Health Centre,yes,Lilongwe
Mazinga,Chiwoza Health Centre,yes,Lilongwe
Chalera,Chiwoza Health Centre,yes,Lilongwe
Mliwu,Chiwoza Health Centre,yes,Lilongwe
Namangwe,Daeyang Luke Hospital,yes,Lilongwe
Mataka,Daeyang Luke Hospital,yes,Lilongwe
Malikha,Daeyang Luke Hospital,yes,Lilongwe
Chimwandere,Daeyang Luke Hospital,yes,Lilongwe
Kangwanda,Daeyang Luke Hospital,yes,Lilongwe
Nyanga,Daeyang Luke Hospital,yes,Lilongwe
Mbalame,Daeyang Luke Hospital,yes,Lilongwe
Chapata,Daeyang Luke Hospital,yes,Lilongwe
Liwera,Daeyang Luke Hospital,yes,Lilongwe
Lipalama,Daeyang Luke Hospital,yes,Lilongwe
Mwadenje,Daeyang Luke Hospital,yes,Lilongwe
Mtupanyama,Daeyang Luke Hospital,yes,Lilongwe
Chimwasongwe,Daeyang Luke Hospital,yes,Lilongwe
Kalulumpikeni,Daeyang Luke Hospital,yes,Lilongwe
Khongo,Daeyang Luke Hospital,yes,Lilongwe
Chikho,Daeyang Luke Hospital,yes,Lilongwe
Mbuna,Diamphwe Health Centre,yes,Lilongwe
Diwa,Diamphwe Health Centre,yes,Lilongwe
Kanyenda,Diamphwe Health Centre,yes,Lilongwe
Chinziri,Diamphwe Health Centre,yes,Lilongwe
Mdzinga,Diamphwe Health Centre,yes,Lilongwe
Chikapula,Diamphwe Health Centre,yes,Lilongwe
Chikungwi,Diamphwe Health Centre,yes,Lilongwe
Chauwa,Diamphwe Health Centre,yes,Lilongwe
Khoko,Diamphwe Health Centre,yes,Lilongwe
Galanga,Diamphwe Health Centre,yes,Lilongwe
Chinthowa,Diamphwe Health Centre,yes,Lilongwe
Chikapaza,Diamphwe Health Centre,yes,Lilongwe
Kamwendo,Dickson Health Centre,yes,Lilongwe
Ngombe,Dickson Health Centre,yes,Lilongwe
Malama,Dickson Health Centre,yes,Lilongwe
Chizula,Dickson Health Centre,yes,Lilongwe
Kalesi,Dickson Health Centre,yes,Lilongwe
Mserera,Dickson Health Centre,yes,Lilongwe
Kamphoni,Dickson Health Centre,yes,Lilongwe
Laimon,Dickson Health Centre,yes,Lilongwe
