location_id,location_name,location_district,facility_code,facility_name,facility_district,similarity_score
851,Achikondi Women Community Friendly Services Clinic,Lilongwe,LL040010,Achikondi Women Community Friendly Services Clinic,Lilongwe,1.0
909,Alumenda Health Centre,Chikwawa,CK270025,Alumenda Health Centre,Chikwawa,1.0
842,Area 18 Medi Clinic,Lilongwe,LL040034,Area 18 Medi Clinic,Lilongwe,1.0
1083,Area 23_DIC,Lilongwe,LL041834,Area 23_DIC,Lilongwe,1.0
1084,Area 25 DIC,Lilongwe,LL041835,Area 25 DIC,Lilongwe,1.0
1085,Area 36 DIC,Lilongwe,LL041836,Area 36 DIC,Lilongwe,1.0
1092,Area 47 DIC,Lilongwe,LL041555,Area 47 DIC,Lilongwe,1.0
1092,Area 47 DIC,Lilongwe,LL041556,Area 47 DIC,Lilongwe,1.0
12,Balaka District Hospital,Balaka,BK170053,Balaka District Hospital,Balaka,1.0
968,Balaka Dream Clinic,Balaka,BK170054,Balaka Dream Clinic,Balaka,1.0
15,Balaka OPD Health Centre,Balaka,BK171524,Balaka OPD Health Centre,Balaka,1.0
1088,Bangwe DIC,Blantyre,BT241811,Bangwe DIC,Blantyre,1.0
16,Bangwe Health Centre,Blantyre,BT240059,Bangwe Health Centre,Blantyre,1.0
964,Bangwe Madina Health Centre,Blantyre,BT241525,Bangwe Madina Health Centre,Blantyre,1.0
735,Baylor Childrens Centre Of Excellence In Malawi,Lilongwe,LL040066,Baylor Childrens Centre Of Excellence In Malawi,Lilongwe,1.0
17,Bembeke Health Centre,Dedza,DE030072,Bembeke Health Centre,Dedza,1.0
18,Benga Health Centre,Nkhotakota,NK100073,Benga Health Centre,Nkhotakota,1.0
20,Bilira Health Centre,Ntcheu,NT120080,Bilila Health Centre,Ntcheu,0.975
21,Bimbi Health Centre,Zomba,ZA230083,Bimbi Health Centre,Zomba,1.0
1096,Blantyre DIC,Blantyre,BT241813,Blantyre DIC,Blantyre,1.0
24,Blantyre District Health Office,Blantyre,BT241814,Blantyre District Health Office,Blantyre,1.0
866,Blessings Hospital,Lilongwe,LL040091,Blessings Hospital,Lilongwe,1.0
28,Bondo Health Centre,Mulanje,MU210108,Bondo Health Centre,Mulanje,1.0
29,Bowe Health Centre,Dowa,DA020111,Bowe Health Centre,Dowa,1.0
32,Bula Health Centre,Nkhata Bay,KB050115,Bula Health Centre,Nkhata Bay,1.0
34,Bvumbwe Research Health Centre,Thyolo,TH311527,Bvumbwe Research Health Centre,Thyolo,1.0
36,Bwanje Health Centre,Ntcheu,NT120123,Bwanje Health Centre,Ntcheu,1.0
39,Chadza Health Centre,Lilongwe,LL040137,Chadza Health Centre,Lilongwe,1.0
40,Chakhaza Health Centre,Dowa,DA020140,Chakhaza Health Centre,Dowa,1.0
43,Chambe Health Centre,Mulanje,MU210145,Chambe Health Centre,Mulanje,1.0
44,Chambo Health Centre,Chitipa,CP060146,Chambo Health Centre,Chitipa,1.0
885,Champiti Health Centre,Ntcheu,NT120147,Champiti Health Centre,Ntcheu,1.0
46,Chang'Ambika Health Centre,Chikwawa,CK270150,Chang'ambika Health Centre,Chikwawa,1.0
47,Changata Health Centre,Thyolo,TH310152,Changata Health Centre,Thyolo,1.0
48,Chankhungu Health Centre,Dowa,DA020153,Chankhungu Health Centre,Dowa,1.0
49,Chapananga Health Centre,Chikwawa,CK270155,Chapananga Health Centre,Chikwawa,1.0
940,Chavala Health Centre,Blantyre,BT240136,Chavala Health Centre,Blantyre,1.0
50,Chesamu Health Centre,Nkhata Bay,KB050164,Chesamu Health Centre,Nkhata Bay,1.0
54,Chiendausiku Health Centre,Balaka,BK170173,Chiendausiku Health Centre,Balaka,1.0
55,Chifunga Health Centre,Neno,NE290176,Chifunga Health Centre,Neno,1.0
56,Chigodi Health Centre,Ntcheu,NT120178,Chigodi Health Centre,Ntcheu,1.0
57,Chikande Health Centre,Ntcheu,NT120182,Chikande Health Centre,Ntcheu,1.0
62,Chikuse Health Centre,Dedza,DE030191,Chikuse Health Centre,Dedza,1.0
64,Chikwawa District Hospital,Chikwawa,CK270193,Chikwawa District Hospital,Chikwawa,1.0
67,Chikweo Health Centre,Machinga,MC190194,Chikweo Health Centre,Machinga,1.0
68,Chikwina Health Centre,Nkhata Bay,KB050195,Chikwina Health Centre,Nkhata Bay,1.0
69,Chilambwe Health Centre,Nkhata Bay,KB050197,Chilambwe Health Centre,Nkhata Bay,1.0
70,Chileka Health Centre,Blantyre,BT240202,Chileka Health Centre,Blantyre,1.0
75,Chilobwe Majiga Health Centre,Lilongwe,LL040214,Chilobwe/Majiga Health Centre,Lilongwe,0.9827586206896552
76,Chilomoni Health Centre,Blantyre,BT240216,Chilomoni Health Centre,Blantyre,1.0
965,Chilomoni Private Clinic,Blantyre,BT241780,Chilomoni Private Clinic,Blantyre,1.0
78,Chilumba Rural Hospital,Karonga,KA150221,Chilumba Rural Hospital,Karonga,1.0
79,Chimaliro Health Centre,Thyolo,TH310222,Chimaliro Health Centre,Thyolo,1.0
80,Chimbalanga Health Centre,Lilongwe,LL040225,Chimbalanga Health Centre,Lilongwe,1.0
81,Chimembe Health Centre,Blantyre,BT240227,Chimembe Health Centre,Blantyre,1.0
82,Chimoto Health Centre,Dedza,DE030228,Chimoto Health Centre,Dedza,1.0
1118,Chimwankango,Mchinji,MC010232,Chimwankango,Mchinji,1.0
86,Chingale Health Centre,Zomba,ZA230238,Chingale Health Centre,Zomba,1.0
90,Chinkhwiri Health Centre,Dowa,DA020243,Chinkhwiri Health Centre,Dowa,1.0
92,Chintheche Rural Hospital,Nkhata Bay,KB050246,Chintcheche Rural Hospital,Nkhata Bay,0.9807692307692308
93,Chinthembwe Health Centre,Ntchisi,NT080247,Chinthembwe Health Centre,Ntchisi,1.0
94,Chinyama Health Centre,Mulanje,MU210249,Chinyama Health Centre,Mulanje,1.0
95,Chioshya Health Centre,Mchinji,MC010251,Chioshya Health Centre,Mchinji,1.0
